"Real GDP growth (Annual percent change)","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","Estimates start after"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Afghanistan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","8.6999999999999993","0.7","11.8","5.4","13.3","3.9","20.6","8.4","6.5","14","5.7","2.7","1","2.2000000000000002","2.6","1.2","3.9","-2.4","-14.5","-6.2","2.2999999999999998","1.9","3","no data","no data","no data","no data","no data","no data",2025
"Albania","2.7","5.7","2.9","1.1000000000000001","2","-1.5","5.6","-0.8","-1.4","9.8000000000000007","-10","-28","-7.2","9.6","9.4","8.9","9.1","-10.9","8.8000000000000007","12.9","6.9","8.3000000000000007","4.5","5.5","5.5","5.5","5.9","6","7.5","3.4","3.7","2.5","1.4","1","1.8","2.2000000000000002","3.9","3.3","3.7","2.1","-3.3","9","4.8","4","4","3.7","3.4","3.2","3.2","3.2","3.2","3.2",2024
"Algeria","-5.4","3","6.4","5.4","5.6","5.6","-0.2","-0.7","-1.9","4.8","0.8","-1.2","1.6","-2.1","-0.9","3.8","3.8","1.1000000000000001","5.0999999999999996","3.2","3.8","3","5.4","6.5","4.5","5.4","2.9","3.1","2.5","1.2","4.8","3","2.4","2.6","4.0999999999999996","3.2","3.9","1.5","1.4","0.9","-5","3.8","3.6","4.0999999999999996","3.7","3.8","3.8","2.9","2.7","2.7","2.6","2.6",2024
"American Samoa","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Andorra","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","8.1","4.5","8.6999999999999993","8.1","5.4","4.8","1.6","-5.6","-5.3","-2","0","-5","-3.5","2.5","1.4","3.7","0.3","1.6","2","-11.2","8.3000000000000007","9.6","2.6","3.8","3.9","2.1","1.8","1.7","1.6","1.5","1.5",2025
"Angola","2.4","-4.4000000000000004","0","4.2","6","3.5","2.9","4.0999999999999996","6.1","0","-3.5","12.1","11.4","11","10.5","10.4","11.2","7.3","4.7","2.2000000000000002","3.1","4.2","13.7","3.5","11.4","14.1","11.8","13","10.8","2","5.3","3.6","8.5","4.9000000000000004","4.7","0.8","-1.7","-0.1","-0.6","-0.2","-4","2.1","4.2","1.3","5","3.1","2.2999999999999998","2.6","2.8","3","3","3.1",2024
"Anguilla","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Antigua and Barbuda","8.1999999999999993","3.8","-0.1","5.4","10.199999999999999","7.6","11.5","6.6","5.2","5.3","3","2.2000000000000002","1.2","5.3","6.7","-4.4000000000000004","6.6","5.5","4.7","3.7","6.2","-4.5","1","6.1","5.8","6.5","12.7","9.3000000000000007","0","-12","-7.8","-2","3.4","-0.6","2.2000000000000002","1.4","4.0999999999999996","2.7","6.7","3.2","-18.899999999999999","8.1999999999999993","8.5","3.9","2.5","3","2.6","2.4","2.5","2.5","2.5","2.5",2024
